sv-00001:070-95,sv-00001:070-95,64634
sv-00002:070-95,sv-00002:070-95,59129
sv-00003:070-95,sv-00003:070-95,41401
sv-00004:070-95,sv-00004:070-95,39575
sv-00005:070-95,sv-00005:070-95,27087
sv-00006:070-95,sv-00006:070-95,25468
sv-00007:070-95,sv-00007:070-95,25125
sv-00008:070-95,sv-00008:070-95,23283
sv-00009:070-95,sv-00009:070-95,22660
sv-00010:070-95,sv-00010:070-95,22423
sv-00011:070-95,sv-00011:070-95,20977
sv-00012:070-95,sv-00012:070-95,18915
sv-00013:070-95,sv-00013:070-95,18423
sv-00014:070-95,sv-00014:070-95,15284
sv-00015:070-95,sv-00015:070-95,13833
sv-00015:070-95,sv-00015:069-6,264
sv-00016:070-95,sv-00016:070-95,13159
sv-00017:070-95,sv-00017:070-95,11384
sv-00018:070-95,sv-00018:070-95,10625
sv-00019:070-95,sv-00019:070-95,10474
sv-00020:070-95,sv-00020:070-95,10185
sv-00021:070-95,sv-00021:070-95,10144
sv-00022:070-95,sv-00022:070-95,8496
sv-00023:070-95,sv-00023:070-95,6771
sv-00024:070-95,sv-00024:070-95,6367
sv-00025:070-95,sv-00025:070-95,6204
sv-00026:070-95,sv-00026:070-95,5467
sv-00027:070-95,sv-00027:070-95,5387
sv-00028:070-95,sv-00028:070-95,4861
sv-00029:070-95,sv-00029:070-95,4488
sv-00029:070-95,sv-00029:069-6,65
sv-00030:070-95,sv-00030:070-95,4302
sv-00031:070-95,sv-00031:070-95,4171
sv-00032:070-95,sv-00032:070-95,4106
sv-00033:070-95,sv-00033:070-95,4008
sv-00034:070-95,sv-00034:070-95,3484
sv-00035:070-95,sv-00035:070-95,3339
sv-00036:070-95,sv-00036:070-95,2456
sv-00037:070-95,sv-00037:070-95,2247
sv-00038:070-95,sv-00038:070-95,2224
sv-00039:070-95,sv-00039:070-95,2221
sv-00040:070-95,sv-00040:070-95,1913
sv-00041:070-95,sv-00041:070-95,1864
sv-00042:070-95,sv-00042:070-95,1851
sv-00043:070-95,sv-00043:070-95,1839
sv-00044:070-95,sv-00044:070-95,1772
sv-00045:070-95,sv-00045:070-95,1740
sv-00046:070-95,sv-00046:070-95,1515
sv-00047:070-95,sv-00047:070-95,780
sv-00048:069-6,sv-00048:069-6,477
sv-00048:069-6,sv-00048:070-95,192
sv-00049:069-6,sv-00049:069-6,448
sv-00049:069-6,sv-00049:070-95,96
sv-00050:070-95,sv-00050:070-95,144
sv-00050:070-95,sv-00050:069-6,73
sv-00051:069-6,sv-00051:069-6,184
sv-00052:069-6,sv-00052:069-6,179
sv-00053:070-95,sv-00053:070-95,177
sv-00054:069-6,sv-00054:069-6,141
sv-00055:069-6,sv-00055:069-6,85
sv-00055:069-6,sv-00055:070-95,44
sv-00056:069-6,sv-00056:069-6,123
sv-00057:069-6,sv-00057:069-6,123
sv-00058:069-6,sv-00058:069-6,114
sv-00059:069-6,sv-00059:069-6,110
sv-00060:070-95,sv-00060:070-95,89
sv-00060:070-95,sv-00060:069-6,15
sv-00061:069-6,sv-00061:069-6,102
sv-00062:069-6,sv-00062:069-6,100
sv-00063:070-95,sv-00063:070-95,93
sv-00064:069-6,sv-00064:069-6,66
sv-00064:069-6,sv-00064:070-95,21
sv-00065:069-6,sv-00065:069-6,87
sv-00066:069-6,sv-00066:069-6,79
sv-00067:070-95,sv-00067:070-95,68
sv-00068:069-6,sv-00068:069-6,68
sv-00069:070-95,sv-00069:070-95,65
sv-00070:070-95,sv-00070:070-95,64
sv-00071:069-6,sv-00071:069-6,62
sv-00072:070-95,sv-00072:070-95,55
sv-00073:069-6,sv-00073:069-6,52
sv-00074:069-6,sv-00074:069-6,44
sv-00075:069-6,sv-00075:069-6,44
sv-00076:069-6,sv-00076:069-6,38
sv-00077:070-95,sv-00077:070-95,35
sv-00078:070-95,sv-00078:070-95,32
sv-00079:070-95,sv-00079:070-95,31
sv-00080:069-6,sv-00080:069-6,31
sv-00081:070-95,sv-00081:070-95,29
sv-00082:070-95,sv-00082:070-95,27
sv-00083:069-6,sv-00083:069-6,27
sv-00084:069-6,sv-00084:069-6,16
sv-00084:069-6,sv-00084:070-95,8
sv-00085:070-95,sv-00085:070-95,20
sv-00086:069-6,sv-00086:069-6,19
sv-00087:070-95,sv-00087:070-95,18
sv-00088:070-95,sv-00088:070-95,17
sv-00089:070-95,sv-00089:070-95,16
sv-00090:070-95,sv-00090:070-95,15
sv-00091:070-95,sv-00091:070-95,15
sv-00092:069-6,sv-00092:069-6,15
sv-00093:070-95,sv-00093:070-95,15
sv-00094:070-95,sv-00094:070-95,12
sv-00095:070-95,sv-00095:070-95,12
sv-00096:070-95,sv-00096:070-95,11
sv-00097:070-95,sv-00097:070-95,9
sv-00098:070-95,sv-00098:070-95,9
sv-00099:070-95,sv-00099:070-95,8
sv-00100:070-95,sv-00100:070-95,6
sv-00101:070-95,sv-00101:070-95,6
sv-00102:070-95,sv-00102:070-95,6
sv-00103:069-6,sv-00103:069-6,6
sv-00104:070-95,sv-00104:070-95,6
sv-00105:070-95,sv-00105:070-95,5
sv-00106:070-95,sv-00106:070-95,5
sv-00107:070-95,sv-00107:070-95,5
sv-00108:069-6,sv-00108:069-6,4
sv-00109:070-95,sv-00109:070-95,3
sv-00110:070-95,sv-00110:070-95,3
sv-00111:070-95,sv-00111:070-95,3
sv-00112:070-95,sv-00112:070-95,3
sv-00113:070-95,sv-00113:070-95,2
sv-00114:070-95,sv-00114:070-95,2
sv-00115:070-95,sv-00115:070-95,2
sv-00116:070-95,sv-00116:070-95,2
sv-00117:070-95,sv-00117:070-95,2
sv-00118:070-95,sv-00118:070-95,2
